Time (sec),Thrust (N),Temperature (°C)
0.001,0.27888975,382.23
0.002,0.9113953,382.23
0.003,1.7547363,382.23
0.004,3.2305827,382.23
0.005,4.4955935,382.23
0.006,5.5497694,382.23
0.007,6.603946,382.23
0.008,6.8147817,382.23
0.008,6.393111,382.23
0.009,5.760606,382.23
-203.159,5.128099,382.23
0.011,5.3389344,382.23
0.012,5.3389344,382.23
0.013,5.760606,382.23
0.014,6.393111,382.23
0.015,7.447287,382.23
0.016,8.501463,382.23
0.017,9.344804,382.23
0.018,9.555639,382.23
0.019,9.977309,382.23
0.019,9.344804,382.23
0.021,8.923134,382.23
0.022,8.079793,382.23
0.023,7.236452,382.23
0.024,6.8147817,382.23
0.025,6.8147817,382.23
0.026,7.0256166,382.23
0.027,7.6581225,382.23
0.028,7.8689575,382.23
0.029,8.079793,382.23
0.03,7.8689575,382.23
0.03,7.447287,382.23
0.031,7.0256166,382.23
0.032,5.971441,382.23
0.033,5.3389344,382.23
0.034,4.917264,382.23
0.035,3.8630881,382.23
0.036,3.441418,382.23
0.037,2.8089123,382.23
0.038,2.3872418,382.23
0.039,2.3872418,382.23
0.04,2.598077,382.23
0.041,3.0197475,382.23
0.041,3.2305827,382.23
0.042,2.8089123,382.23
-203.159,2.8089123,382.23
0.044,1.9655715,382.23
0.045,1.1222305,382.23
0.046,0.27888975,382.23
3.262,0.06805456,382.23
3.264,0.27888975,382.23
3.265,0.27888975,382.23
3.266,0.06805456,382.23
3.388,0.06805456,382.23
3.389,0.06805456,382.23
3.39,0.27888975,382.23
3.392,0.06805456,382.23
3.393,0.27888975,382.23
3.394,0.06805456,382.23
3.398,0.06805456,382.23
3.399,0.06805456,382.23
3.4,0.48972493,382.23
3.401,0.27888975,382.23
3.402,0.48972493,382.23
3.403,0.27888975,382.23
3.404,0.06805456,382.23
3.405,0.06805456,382.23
3.413,0.06805456,382.23
3.585,0.06805456,382.23
3.586,0.06805456,382.23
3.587,0.06805456,382.23
3.588,0.48972493,382.23
3.589,0.48972493,382.23
3.59,0.7005601,382.23
3.591,0.9113953,382.23
3.591,0.9113953,382.23
3.592,1.333066,382.23
3.593,1.7547363,382.23
3.594,1.9655715,382.23
3.595,1.9655715,382.23
3.596,2.1764066,382.23
3.597,2.3872418,382.23
3.598,2.598077,382.23
3.599,2.598077,382.23
3.6,2.598077,382.23
3.601,2.8089123,382.23
3.601,2.8089123,382.23
3.602,2.8089123,382.23
3.603,3.0197475,382.23
3.605,3.0197475,382.23
3.606,2.598077,382.23
3.607,3.0197475,382.23
3.608,2.598077,382.23
3.609,2.3872418,382.23
3.61,2.3872418,382.23
3.611,2.1764066,382.23
3.612,2.1764066,382.23
3.613,1.9655715,382.23
3.613,2.1764066,382.23
3.614,2.1764066,382.23
3.615,2.1764066,382.23
3.616,1.9655715,382.23
3.617,1.7547363,382.23
3.618,1.7547363,382.23
3.619,1.333066,382.23
3.62,1.333066,382.23
3.621,1.1222305,382.23
3.622,0.9113953,382.23
3.623,0.9113953,382.23
3.623,0.9113953,382.23
3.624,0.7005601,382.23
3.625,0.9113953,382.23
3.626,0.7005601,382.23
3.627,0.7005601,382.23
3.628,0.48972493,382.23
3.629,0.9113953,382.23
3.63,0.48972493,382.23
3.631,0.48972493,382.23
3.632,0.27888975,382.23
3.633,0.27888975,382.23
3.634,0.27888975,382.23
3.634,0.06805456,382.23
3.635,0.27888975,382.23
3.636,0.27888975,382.23
3.637,0.27888975,382.23
3.638,0.06805456,382.23
3.639,0.06805456,382.23
3.643,0.06805456,382.23
3.644,0.06805456,382.23
3.644,0.27888975,382.23
3.645,0.27888975,382.23
3.646,0.27888975,382.23
3.648,0.06805456,382.23
3.649,0.06805456,382.23
3.655,0.06805456,382.23
3.656,0.06805456,382.23
3.656,0.27888975,382.23
3.66,0.06805456,382.23
3.662,0.06805456,382.23
3.663,0.06805456,382.23
3.664,0.48972493,382.23
3.665,0.7005601,382.23
3.666,0.7005601,382.23
3.666,0.7005601,382.23
3.667,0.9113953,382.23
3.668,0.7005601,382.23
3.669,0.48972493,382.23
3.67,0.06805456,382.23
3.676,0.06805456,382.23
3.677,0.06805456,382.23
3.677,0.48972493,382.23
3.678,0.27888975,382.23
3.679,0.48972493,382.23
3.68,0.48972493,382.23
3.681,0.48972493,382.23
3.682,0.9113953,382.23
3.683,1.333066,382.23
3.684,1.5439011,382.23
3.685,1.7547363,382.23
3.686,1.9655715,382.23
3.687,1.7547363,382.23
3.687,1.333066,382.23
3.688,0.9113953,382.23
3.69,0.48972493,382.23
3.691,0.9113953,382.23
3.692,0.48972493,382.23
3.693,0.9113953,382.23
3.694,1.1222305,382.23
3.695,1.5439011,382.23
3.696,1.9655715,382.23
3.697,2.598077,382.23
3.698,2.8089123,382.23
3.699,2.3872418,382.23
3.699,2.1764066,382.23
3.7,1.7547363,382.23
3.701,1.7547363,382.23
3.702,1.7547363,382.23
3.703,1.7547363,382.23
3.704,2.1764066,382.23
3.705,2.3872418,382.23
3.706,2.598077,382.23
3.707,3.0197475,382.23
3.708,2.598077,382.23
3.709,2.598077,382.23
3.709,2.3872418,382.23
3.71,2.3872418,382.23
3.711,2.3872418,382.23
3.712,2.3872418,382.23
3.713,2.3872418,382.23
3.714,2.8089123,382.23
3.715,3.0197475,382.23
3.716,3.0197475,382.23
3.717,3.2305827,382.23
3.718,3.2305827,382.23
3.719,3.0197475,382.23
3.72,3.0197475,382.23
3.72,3.2305827,382.23
3.721,3.2305827,382.23
3.722,3.2305827,382.23
3.723,3.2305827,382.23
3.724,3.441418,382.23
3.725,3.441418,382.23
3.726,3.652253,382.23
3.727,3.441418,382.23
3.728,3.441418,382.23
3.729,3.652253,382.23
3.73,3.441418,382.23
3.73,3.441418,382.23
3.731,3.441418,382.23
3.733,3.2305827,382.23
3.734,3.0197475,382.23
3.735,3.0197475,382.23
3.736,3.0197475,382.23
3.737,3.441418,382.23
3.738,3.441418,382.23
3.739,3.8630881,382.23
3.74,3.441418,382.23
3.741,3.2305827,382.23
3.742,3.2305827,382.23
3.742,3.0197475,382.23
3.743,3.0197475,382.23
3.744,3.0197475,382.23
3.745,3.2305827,382.23
3.746,3.652253,382.23
3.747,3.652253,382.23
3.748,3.441418,382.23
3.749,3.8630881,382.23
3.75,3.8630881,382.23
3.751,3.8630881,382.23
3.752,3.441418,382.23
3.752,3.652253,382.23
3.753,3.8630881,382.23
3.754,3.441418,382.23
3.755,3.652253,382.23
3.756,4.0739236,382.23
3.757,4.0739236,382.23
3.758,4.0739236,382.23
3.759,4.0739236,382.23
3.76,4.2847586,382.23
3.761,4.4955935,382.23
3.762,4.4955935,382.23
3.763,4.7064285,382.23
3.763,4.7064285,382.23
3.764,4.4955935,382.23
3.765,4.4955935,382.23
3.766,4.2847586,382.23
3.767,4.4955935,382.23
3.768,4.7064285,382.23
3.769,4.7064285,382.23
3.77,4.917264,382.23
3.771,4.7064285,382.23
3.772,4.917264,382.23
3.773,4.917264,382.23
3.773,4.917264,382.23
-203.159,5.128099,382.23
3.776,4.7064285,382.23
3.777,5.3389344,382.23
3.778,5.3389344,382.23
3.779,5.3389344,382.23
3.78,5.3389344,382.23
3.781,5.128099,382.23
3.782,4.917264,382.23
3.783,4.917264,382.23
3.784,4.917264,382.23
3.785,5.128099,382.23
3.785,5.760606,382.23
3.786,5.5497694,382.23
3.787,5.760606,382.23
3.788,5.5497694,382.23
3.789,5.3389344,382.23
3.79,5.760606,382.23
3.791,5.971441,382.23
3.792,5.971441,382.23
3.793,6.393111,382.23
3.794,6.393111,382.23
3.795,6.393111,382.23
3.795,6.393111,382.23
3.796,6.1822762,382.23
3.797,6.393111,382.23
3.798,6.393111,382.23
3.799,6.603946,382.23
3.8,6.603946,382.23
3.801,6.8147817,382.23
3.802,6.8147817,382.23
3.803,7.0256166,382.23
3.804,6.603946,382.23
3.805,6.8147817,382.23
3.806,6.603946,382.23
3.806,6.603946,382.23
-203.159,6.393111,382.23
3.808,6.8147817,382.23
3.809,6.603946,382.23
3.81,7.0256166,382.23
3.811,7.236452,382.23
3.812,7.447287,382.23
3.813,7.8689575,382.23
3.814,7.447287,382.23
3.815,7.447287,382.23
3.816,7.6581225,382.23
3.816,7.236452,382.23
3.818,7.236452,382.23
3.819,7.447287,382.23
3.82,7.447287,382.23
3.821,7.8689575,382.23
3.822,8.079793,382.23
3.823,8.2906275,382.23
3.824,8.2906275,382.23
3.825,8.501463,382.23
3.826,8.501463,382.23
3.827,8.501463,382.23
3.828,8.712298,382.23
3.828,8.712298,382.23
3.829,8.501463,382.23
3.83,8.712298,382.23
3.831,9.133968,382.23
3.832,9.133968,382.23
3.833,9.133968,382.23
3.834,9.133968,382.23
3.835,8.923134,382.23
3.836,9.133968,382.23
3.837,9.133968,382.23
3.838,9.133968,382.23
3.838,9.133968,382.23
3.839,9.766475,382.23
3.84,9.555639,382.23
3.841,9.977309,382.23
3.842,9.977309,382.23
3.843,10.609815,382.23
3.844,10.82065,382.23
3.845,10.82065,382.23
3.846,11.242321,382.23
3.847,11.874826,382.23
3.848,12.085661,382.23
3.849,12.507332,382.23
3.849,12.507332,382.23
3.85,12.718167,382.23
3.851,13.350673,382.23
3.852,13.561507,382.23
3.853,14.194014,382.23
3.854,15.037355,382.23
3.855,15.459025,382.23
3.856,15.880695,382.23
3.857,16.302366,382.23
3.858,16.934872,382.23
3.859,17.567377,382.23
3.859,18.832388,382.23
-203.159,20.097399,382.23
3.862,21.573244,382.23
3.863,22.416586,382.23
3.864,23.892431,382.23
3.865,24.735773,382.23
3.866,26.000784,382.23
3.867,27.05496,382.23
3.868,27.47663,382.23
3.869,27.687466,382.23
3.87,28.319971,382.23
3.871,28.741642,382.23
3.871,28.741642,382.23
3.872,29.374147,382.23
3.873,30.217487,382.23
3.874,30.639158,382.23
3.875,31.482498,382.23
3.876,32.53668,382.23
3.877,33.16918,382.23
3.878,34.01252,382.23
3.879,34.434193,382.23
3.88,34.85586,382.23
3.881,35.0667,382.23
3.881,35.699203,382.23
3.882,36.120872,382.23
3.883,36.54254,382.23
3.884,36.33171,382.23
3.885,36.54254,382.23
3.886,36.54254,382.23
3.887,36.75338,382.23
3.888,36.75338,382.23
3.889,36.964214,382.23
3.89,36.75338,382.23
3.891,36.54254,382.23
3.892,36.964214,382.23
3.892,37.385883,382.23
-203.159,37.385883,382.23
